##########################################################################
# Name List for Pirate Waves
#
# Written by ScepraX
##########################################################################

PRW1 = {
	selectable = { always = no }
	randomized = no

	trigger = {
		is_country_type = pirate_waves_country
	}

	ship_names = {
		generic = {
			Eyesore Tinderbox Pipedream Deathtrap Jawbreaker Crybaby Spoilsport Pottymouth Whippersnapper Stepchild Homewrecker Roadkill Malcontent "Loose Cannon"
			Butterfingers Snapperhead "Hissy Fit" Sourpuss "Sucker Punch" Gutbuster "I Hate Everything" Highwayman Outlaw "Turbulent Priest" "Sea Monkey"
			"Dairy Farmer" "Morally Bankrupt" "Mental Midget" "Bucket of Bolts" "Free Lunch" "Wallet Inspector" "Laughing Stock" Gunslinger Sellsword Rapscallion
			"Wayward Son" Braindrain "Inconspicuous Asteroid" "One Trick Pony" "Wide Load" "No Refunds" Fencesitter Blindspot "Ugly Stick" "Show's Over" "Four Lights"
			"Poetic Justice" "Foreign Object" "Why Me" "Last Straw" "Designated Driver" "Comet Sighted!" "Slapped Together" "Lowest Bidder" "Wet Blanket" "Sordid Methods"
			"Broken Record" "Gender Bender" Ne'er-do-well Grotesque "Impudent Whelp" "Harsh Language" "Public Servant" "Love Is In The Air" "Class Act" Ineptitude
			Malaise "Deviant Citizen" Chomper "Diminishing Returns" "Calculated Risk" "Logistical Nightmare" "Come Closer" "Soylent Green" "Tunnel of Love" "Gross Negligence"
			"Another Mouth To Feed" "No Refunds" Blunderbuss "Catch Me If You Can" Obscenity "Holier Than Thou" "Open Wide" Target Bullseye Taxman Solicitor "Red Dread"
			"Missing Link" "Duct Taped" "Robber Baron" "Affront to Nature" "Queen Xoggra's Revenge" "Total Loss" "Village Idiot" Tattletale Filibuster "Smarmy Toad"
			"Mangy Cur" Cityslicker "Depth Perception" "This Way" "Mysterious Rash" "Divine Intervention" Crossbones "Jolly Roger" "No Surrender" "No Quarter"
			"Victim of Circumstance" "Red Flag" "Product of Society" "Under Evaluation" "Flying Coffin" "Gilded Cage" "Disgruntled Worker" "Of Sound Mind" "Ivory Tower"
			"Bastard Son" "Carpet Sample" "Scarlet Tentacle" "Down In Front" "Learning Experience VII" "Lowest Common Denominator" "Glory Days" "Gripping Appendage"
			"Desperate Pauper" "Born Lucky" "Boltragg's Folly" "My First Ship IV" "Base Instincts" "Check Please" "Infinite Loop" "Lazy Morning" "Consequences Be Damned"
			"Runtime Error" "Pointless Platitude" "Grey Matter" "Conscientious Objector" "Unexplained Itch" Anarchist "Out of Control" "Unexpected Obstacle" 
			"Toxic Behavior" "Controlled Explosion" Fugitive "Happy Camper" "Unfortunate Ending" "Criminally Insane" "Not Guilty" "Double Jeopardy" "Perfect Pitch" 
			"Pedal to the Metal" Mistrial "Lump of Coal" "I Am Truly Sorry" "Dark Forecast" "Apologies in Advance" "Reduced To This" "Surprise Encounter" "Meat Locker"
